age,sex,race,educ,state,weight
30-44,Male,White,College graduate,WV,5
65+,Male,White,College graduate,WV,10
65+,Female,White,College graduate,WV,10
45-65,Male,White,No college degree,WV,12
45-65,Female,White,No college degree,WV,13
45-65,Male,White,College graduate,WV,9
45-65,Female,White,College graduate,WV,11
18-29,Male,White,College graduate,WV,11
65+,Female,White,No college degree,WV,8
45-65,Male,White,College graduate,WV,30
45-65,Female,White,College graduate,WV,27
65+,Male,White,No college degree,WV,7
45-65,Female,White,No college degree,WV,4
65+,Male,White,No college degree,WV,17
65+,Female,White,College graduate,WV,16
30-44,Female,White,No college degree,WV,11
30-44,Male,White,College graduate,WV,9
18-29,Female,White,College graduate,WV,3
18-29,Female,White,No college degree,WV,6
30-44,Male,White,College graduate,WV,35
65+,Male,White,College graduate,WV,21
65+,Female,White,College graduate,WV,19
65+,Male,White,No college degree,WV,5
65+,Female,White,College graduate,WV,5
30-44,Male,White,College graduate,WV,16
18-29,Male,White,No college degree,WV,19
45-65,Female,White,No college degree,WV,17
30-44,Female,White,No college degree,WV,20
30-44,Male,White,No college degree,WV,20
45-65,Male,White,No college degree,WV,64
45-65,Female,White,College graduate,WV,46
65+,Female,White,College graduate,WV,19
65+,Male,White,College graduate,WV,19
45-65,Male,White,No college degree,WV,16
45-65,Female,White,College graduate,WV,18
45-65,Male,White,College graduate,WV,5
45-65,Female,White,College graduate,WV,5
30-44,Male,White,College graduate,WV,7
65+,Male,White,No college degree,WV,11
65+,Female,White,College graduate,WV,11
30-44,Male,White,No college degree,WV,14
18-29,Female,White,No college degree,WV,16
65+,Female,White,College graduate,WV,16
65+,Male,White,College graduate,WV,9
45-65,Female,White,College graduate,WV,9
30-44,Female,White,No college degree,WV,13
65+,Female,White,College graduate,WV,14
65+,Male,White,No college degree,WV,61
45-65,Female,White,No college degree,WV,59
18-29,Female,White,College graduate,WV,74
65+,Female,White,No college degree,WV,13
18-29,Female,White,College graduate,WV,5
18-29,Female,White,No college degree,WV,16
18-29,Male,White,No college degree,WV,16
45-65,Female,White,College graduate,WV,22
45-65,Female,White,College graduate,WV,15
18-29,Female,Black,No college degree,WV,60
