state_abbr,actual_dem,rep_share,predicted_dem,lower_95,median,upper_95,actual_scaled,abs_error,squared_error,exit_poll_conducted
NC,0.4765,50.86,0.4927270489999788,0.4891952530816028,0.4927034922164111,0.49639565649715905,0.4765,0.016227048999978844,2.633171192477144e-4,TRUE
ND,0.30510000000000004,66.96,0.2463754534213093,0.1556136839461493,0.24404504213753497,0.36432150807011526,0.30510000000000004,0.05872454657869075,0.0034485723708728194,FALSE
OH,0.4393,55.14,0.4002864998907817,0.3924355250054741,0.4001977785840371,0.4080224308552461,0.4393,0.039013500109218335,0.0015220531907719792,TRUE
OK,0.319,66.16,0.2711119556747885,0.22759955436236595,0.27082763996069015,0.3177292833369887,0.319,0.04788804432521149,0.0022932647892934203,FALSE
OR,0.5527000000000001,40.97,0.5041062344647126,0.47295453568062706,0.5032753616216022,0.5344762131646883,0.5527000000000001,0.04859376553528749,0.0023613540488984946,FALSE
PA,0.4866,50.37,0.4547665235272112,0.4503692232685969,0.4547286302852576,0.4592464814224594,0.4866,0.03183347647278878,0.0010133702243435969,TRUE
RI,0.5554,41.76,0.555881685214396,0.4784349310872332,0.5561100214869612,0.6336786975354632,0.5554,4.816852143959549e-4,2.3202064576767704e-7,FALSE
SC,0.4036,58.23,0.4519051187114461,0.4360156851538208,0.4520574150349548,0.4680547722942106,0.4036,0.048305118711446104,0.0023333844937269005,FALSE
SD,0.34240000000000004,63.43,0.2640191531870999,0.1885638897094555,0.2616676673980567,0.35784659923451917,0.34240000000000004,0.07838084681290014,0.006143557147107318,FALSE
TN,0.3447,64.19,0.3482071783763734,0.32230978863535875,0.34776931270528477,0.3761743268478362,0.3447,0.0035071783763733766,1.2300300163700994e-5,FALSE
TX,0.42460000000000003,56.14,0.4587403612412476,0.45484439794876275,0.4587122843426957,0.4630064511245603,0.42460000000000003,0.034140361241247585,0.0011655642656828804,TRUE
UT,0.3779,59.38,0.2927246990177886,0.2533529325226292,0.29159381246435023,0.3352093727170961,0.3779,0.08517530098221143,0.007254831897410308,FALSE
VT,0.6383,32.32,0.5957855213914236,0.46801233663164293,0.5962694787983178,0.719316051296502,0.6383,0.04251447860857638,0.0018074808913590985,FALSE
VA,0.5183,46.05,0.5586572019309319,0.5437552620011777,0.55853498257537,0.5739433586078672,0.5183,0.04035720193093195,0.0016287037476940176,FALSE
WA,0.5722999999999999,39.01,0.5394291115367413,0.5148819721150296,0.5389773798148473,0.5646372555251646,0.5722999999999999,0.032870888463258585,0.0010804953083639864,FALSE
WV,0.281,69.97,0.22425720476761932,0.15942055631383573,0.22192439150959384,0.30514387448296965,0.281,0.05674279523238071,0.003219744810783887,FALSE
WI,0.4874,49.6,0.4209568000138657,0.4156541760800362,0.420891717689188,0.4262377617792676,0.4874,0.0664431999861343,0.0044146988243974365,TRUE
WY,0.2584,71.6,0.20559950483744044,0.0919966397282218,0.19734812793548273,0.36025355746022636,0.2584,0.05280049516255958,0.0027878922894114776,FALSE
NE,0.3886,59.32,0.3158808101263533,0.27496052257105896,0.31531187958812534,0.3610360828557371,0.3886,0.07271918987364673,0.005288080575879484,FALSE
ME,0.524,45.46,0.4347294288869185,0.4059137560223902,0.4348538041817016,0.4639851591023318,0.524,0.08927057111308151,0.007969234866855742,FALSE
